房屋類型,模型,n_estimators,max_depth,min_samples_leaf,特徵集,訓練R2,測試R2,R2差距,RMSE,MAE
中古屋,隨機森林,200,None,5,v2（含屋齡）,0.826,0.74,0.087,11.61,4.63
預售屋,隨機森林,200,None,1,v2（不含屋齡，屋齡結構性全缺）,0.997,0.98,0.017,4.2,2.12
